"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","species","age","individual.id","time.to.detect","count","date","pass.id","survey.pass"
2158,38.64504,-81.59677,13,5,1998,1,116,"PO","ECIR","NR",NA,NA,1,"1998-05-13",1,"116_1"
694,37.90436,-82.01648,24,6,1997,1,117,"PO","ECIR","NR",NA,NA,1,"1997-06-24",1,"117_1"
1836,38.5292,-81.80631,19,5,1998,1,118,"PO","ECIR","NR",NA,NA,1,"1998-05-19",1,"118_1"
1836,38.5292,-81.80631,19,5,1998,1,119,"PO","ECIR","NR",NA,NA,1,"1998-05-19",1,"119_1"
103,37.44101,-81.8723,16,6,1997,1,120,"PO","ECIR","NR",NA,NA,1,"1997-06-16",1,"120_1"
197,37.55702,-80.94598,19,6,1997,1,121,"PO","ECIR","NR",NA,NA,1,"1997-06-19",1,"121_1"
119,37.47021,-81.12539,19,6,1997,1,122,"PO","ECIR","NR",NA,NA,1,"1997-06-19",1,"122_1"
259,37.61636,-80.9315,19,6,1997,1,123,"PO","ECIR","NR",NA,NA,1,"1997-06-19",1,"123_1"
266,37.62061,-80.93647,19,6,1997,1,124,"PO","ECIR","NR",NA,NA,1,"1997-06-19",1,"124_1"
296,37.65049,-80.8587,20,6,1997,1,125,"PO","ECIR","NR",NA,NA,1,"1997-06-20",1,"125_1"
678,37.88859,-82.01593,24,6,1997,1,126,"PO","ECIR","NR",NA,NA,1,"1997-06-24",1,"126_1"
296,37.65049,-80.8587,20,6,1997,1,127,"PO","ECIR","NR",NA,NA,1,"1997-06-20",1,"127_1"
293,37.65001,-80.84689,20,6,1997,1,128,"PO","ECIR","NR",NA,NA,1,"1997-06-20",1,"128_1"
93,37.42473,-81.86062,23,6,1997,1,129,"PO","ECIR","NR",NA,NA,1,"1997-06-23",1,"129_1"
728,37.92232,-80.2625,18,6,1997,1,130,"PO","ECIR","NR",NA,NA,1,"1997-06-18",1,"130_1"
38,37.32046,-81.42079,10,3,1997,1,131,"PO","ECIR","NR",NA,NA,1,"1997-03-10",1,"131_1"
236,37.60018,-81.82804,11,3,1997,1,132,"PO","ECIR","NR",NA,NA,1,"1997-03-11",1,"132_1"
104,37.44179,-81.87634,10,3,1997,1,133,"PO","ECIR","NR",NA,NA,1,"1997-03-10",1,"133_1"
1280,38.26059,-81.67388,5,6,2009,1,134,"PO","ECIR","NR",NA,NA,1,"2009-06-05",1,"134_1"
1270,38.25905,-81.67765,5,6,2009,1,135,"PO","ECIR","NR",NA,NA,1,"2009-06-05",1,"135_1"
381,37.74782,-80.92647,20,10,1990,1,136,"PO","ECIR","NR",NA,NA,1,"1990-10-20",1,"136_1"
425,37.77381,-81.02081,2,11,1990,1,137,"PO","ECIR","NR",NA,NA,1,"1990-11-02",1,"137_1"
1911,38.5855,-82.25391,9,11,1987,1,138,"PO","ECIR","NR",NA,NA,1,"1987-11-09",1,"138_1"
704,37.90998,-82.02225,25,4,1989,1,139,"PO","ECIR","NR",NA,NA,1,"1989-04-25",1,"139_1"
186,37.5348,-80.90642,4,10,2009,1,140,"PO","ECIR","NR",NA,NA,1,"2009-10-04",1,"140_1"
186,37.5348,-80.90642,24,10,2009,1,141,"PO","ECIR","NR",NA,NA,1,"2009-10-24",1,"141_1"
186,37.5348,-80.90642,24,10,2009,1,142,"PO","ECIR","NR",NA,NA,1,"2009-10-24",1,"142_1"
1282,38.2614,-81.67204,26,4,2007,1,143,"PO","ECIR","NR",NA,NA,1,"2007-04-26",1,"143_1"
1283,38.26189,-81.66973,2,5,1996,1,144,"PO","ECIR","NR",NA,NA,1,"1996-05-02",1,"144_1"
1340,38.30518,-82.2127,23,10,2007,1,145,"PO","ECIR","NR",NA,NA,1,"2007-10-23",1,"145_1"
1322,38.29427,-82.42143,8,10,2011,1,146,"PO","ECIR","NR",NA,NA,1,"2011-10-08",1,"146_1"
1315,38.29062,-82.4241,8,10,2011,1,147,"PO","ECIR","NR",NA,NA,1,"2011-10-08",1,"147_1"
1261,38.25479,-81.63226,11,4,1992,1,148,"PO","ECIR","NR",NA,NA,1,"1992-04-11",1,"148_1"
2488,38.7424,-82.04221,23,5,1992,1,149,"PO","ECIR","NR",NA,NA,1,"1992-05-23",1,"149_1"
2488,38.7424,-82.04221,23,5,1992,1,150,"PO","ECIR","NR",NA,NA,1,"1992-05-23",1,"150_1"
1267,38.25738,-81.63875,11,4,1992,1,151,"PO","ECIR","NR",NA,NA,1,"1992-04-11",1,"151_1"
945,38.05789,-81.0601,13,5,1991,1,152,"PO","ECIR","NR",NA,NA,1,"1991-05-13",1,"152_1"
385,37.74873,-80.93176,21,7,1989,1,153,"PO","ECIR","NR",NA,NA,1,"1989-07-21",1,"153_1"
385,37.74873,-80.93176,21,7,1989,1,154,"PO","ECIR","NR",NA,NA,1,"1989-07-21",1,"154_1"
248,37.60951,-80.77651,6,7,1935,1,155,"PO","ECIR","NR",NA,NA,1,"1935-07-06",1,"155_1"
106,37.44513,-81.11779,7,7,1938,1,156,"PO","ECIR","NR",NA,NA,1,"1938-07-07",1,"156_1"
439,37.78049,-81.30449,12,7,1938,1,157,"PO","ECIR","NR",NA,NA,1,"1938-07-12",1,"157_1"
1082,38.16271,-82.53929,4,8,1938,1,158,"PO","ECIR","NR",NA,NA,1,"1938-08-04",1,"158_1"
1505,38.40467,-82.18139,12,8,1938,1,159,"PO","ECIR","NR",NA,NA,1,"1938-08-12",1,"159_1"
1034,38.11895,-82.18577,21,9,1940,1,160,"PO","ECIR","NR",NA,NA,1,"1940-09-21",1,"160_1"
1034,38.11895,-82.18577,21,9,1940,1,161,"PO","ECIR","NR",NA,NA,1,"1940-09-21",1,"161_1"
949,38.06102,-81.8196,16,4,1942,1,162,"PO","ECIR","NR",NA,NA,1,"1942-04-16",1,"162_1"
949,38.06102,-81.8196,16,4,1942,1,163,"PO","ECIR","NR",NA,NA,1,"1942-04-16",1,"163_1"
