"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","individual.id","time.to.detect","date","survey.pass","species","age","count"
53,42.39084,-72.43259,31,7,2019,1,53,"count",1,NA,NA,"7/31/2019","53_1","DFUS","NR",2
53,42.39084,-72.43259,31,7,2019,1,53,"count",1,NA,NA,"7/31/2019","53_1","EBIS","NR",10
53,42.39084,-72.43259,31,7,2019,1,53,"count",1,NA,NA,"7/31/2019","53_1","GPOR","NR",0
55,42.39394,-72.42762,31,7,2019,1,55,"count",1,NA,NA,"7/31/2019","55_1","DFUS","NR",2
55,42.39394,-72.42762,31,7,2019,1,55,"count",1,NA,NA,"7/31/2019","55_1","EBIS","NR",11
55,42.39394,-72.42762,31,7,2019,1,55,"count",1,NA,NA,"7/31/2019","55_1","GPOR","NR",0
40,42.31014,-72.37527,1,8,2019,1,40,"count",1,NA,NA,"8/1/2019","40_1","DFUS","NR",0
40,42.31014,-72.37527,1,8,2019,1,40,"count",1,NA,NA,"8/1/2019","40_1","EBIS","NR",0
40,42.31014,-72.37527,1,8,2019,1,40,"count",1,NA,NA,"8/1/2019","40_1","GPOR","NR",0
41,42.31038,-72.37276,1,8,2019,1,41,"count",1,NA,NA,"8/1/2019","41_1","DFUS","NR",0
41,42.31038,-72.37276,1,8,2019,1,41,"count",1,NA,NA,"8/1/2019","41_1","EBIS","NR",1
41,42.31038,-72.37276,1,8,2019,1,41,"count",1,NA,NA,"8/1/2019","41_1","GPOR","NR",0
43,42.31586,-72.37983,1,8,2019,1,43,"count",1,NA,NA,"8/1/2019","43_1","DFUS","NR",0
43,42.31586,-72.37983,1,8,2019,1,43,"count",1,NA,NA,"8/1/2019","43_1","EBIS","NR",0
43,42.31586,-72.37983,1,8,2019,1,43,"count",1,NA,NA,"8/1/2019","43_1","GPOR","NR",0
112,42.59058,-71.86252,5,8,2019,1,112,"count",1,NA,NA,"8/5/2019","112_1","DFUS","NR",2
112,42.59058,-71.86252,5,8,2019,1,112,"count",1,NA,NA,"8/5/2019","112_1","EBIS","NR",3
112,42.59058,-71.86252,5,8,2019,1,112,"count",1,NA,NA,"8/5/2019","112_1","GPOR","NR",0
109,42.58324,-71.86513,5,8,2019,1,109,"count",1,NA,NA,"8/5/2019","109_1","DFUS","NR",11
109,42.58324,-71.86513,5,8,2019,1,109,"count",1,NA,NA,"8/5/2019","109_1","EBIS","NR",3
109,42.58324,-71.86513,5,8,2019,1,109,"count",1,NA,NA,"8/5/2019","109_1","GPOR","NR",0
76,42.47565,-71.88517,7,8,2019,1,76,"count",1,NA,NA,"8/7/2019","76_1","DFUS","NR",0
76,42.47565,-71.88517,7,8,2019,1,76,"count",1,NA,NA,"8/7/2019","76_1","EBIS","NR",3
76,42.47565,-71.88517,7,8,2019,1,76,"count",1,NA,NA,"8/7/2019","76_1","GPOR","NR",0
