"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","count","date","survey.pass"
111,39.104166,-76.96875,31,1,2012,1,62,"PO",1,"DFUS","adult",NA,NA,1,"1/31/2012","62_1"
44,38.5625,-76.65625,30,1,2012,1,63,"PO",1,"DFUS","adult",NA,NA,1,"1/30/2012","63_1"
46,38.604166,-76.65625,8,11,2011,1,64,"PO",1,"DFUS","adult",NA,NA,1,"11/8/2011","64_1"
201,39.3125,-76.09375,7,11,2011,1,65,"PO",1,"DFUS","adult",NA,NA,1,"11/7/2011","65_1"
229,39.354166,-76.03125,10,12,2011,1,66,"PO",1,"DFUS","adult",NA,NA,1,"12/10/2011","66_1"
432,39.604166,-78.03125,16,7,2012,1,67,"PO",1,"DFUS","adult",NA,NA,1,"7/16/2012","67_1"
432,39.604166,-78.03125,5,10,2014,1,68,"PO",1,"DFUS","adult",NA,NA,1,"10/5/2014","68_1"
378,39.5625,-79.15625,25,5,2012,1,69,"PO",1,"DFUS","adult",NA,NA,1,"5/25/2012","69_1"
378,39.5625,-79.15625,9,1,2013,1,70,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2013","70_1"
423,39.604166,-79.15625,13,1,2013,1,71,"PO",1,"DFUS","adult",NA,NA,1,"1/13/2013","71_1"
422,39.604166,-79.21875,6,4,2014,1,72,"PO",1,"DFUS","adult",NA,NA,1,"4/6/2014","72_1"
422,39.604166,-79.21875,28,4,2012,1,73,"PO",1,"DFUS","adult",NA,NA,1,"4/28/2012","73_1"
336,39.520834,-79.15625,31,5,2012,1,74,"PO",1,"DFUS","adult",NA,NA,1,"5/31/2012","74_1"
335,39.520834,-79.21875,16,2,2014,1,75,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","75_1"
335,39.520834,-79.21875,16,2,2014,1,76,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","76_1"
544,39.6875,-77.40625,20,7,2013,1,77,"PO",1,"DFUS","adult",NA,NA,1,"7/20/2013","77_1"
