"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","date","count","survey.pass"
31,42.34807537,-72.75841109,13,9,1994,1,72,"PO",1,"GPOR","adult",NA,NA,"9/13/1994",1,"72_1"
31,42.34807537,-72.75841109,13,9,1994,1,73,"PO",1,"GPOR","adult",NA,NA,"9/13/1994",1,"73_1"
32,42.35219775,-72.75787644,13,9,1994,1,74,"PO",1,"GPOR","adult",NA,NA,"9/13/1994",1,"74_1"
32,42.35219775,-72.75787644,13,9,1994,1,75,"PO",1,"GPOR","adult",NA,NA,"9/13/1994",1,"75_1"
3,42.0995,-71.7948,4,6,1995,1,76,"PO",1,"GPOR","adult",NA,NA,"6/4/1995",1,"76_1"
129,42.6754,-73.1932,17,5,1995,1,77,"PO",1,"GPOR","adult",NA,NA,"5/17/1995",1,"77_1"
129,42.6754,-73.1932,17,5,1995,1,78,"PO",1,"GPOR","adult",NA,NA,"5/17/1995",1,"78_1"
92,42.59480402,-73.25510646,24,7,1983,1,79,"PO",1,"GPOR","NR",NA,NA,"7/24/1983",1,"79_1"
98,42.5977,-73.2591,NA,6,2001,1,80,"PO",1,"GPOR","larva",NA,NA,NA,1,"80_1"
95,42.5967,-73.2571,NA,6,2001,1,81,"PO",1,"GPOR","larva",NA,NA,NA,1,"81_1"
93,42.5952,-73.2556,NA,6,2001,1,82,"PO",1,"GPOR","adult",NA,NA,NA,1,"82_1"
91,42.5942,-73.2553,NA,6,2001,1,83,"PO",1,"GPOR","NR",NA,NA,NA,1,"83_1"
90,42.5938,-73.2548,NA,6,2001,1,84,"PO",1,"GPOR","NR",NA,NA,NA,1,"84_1"
13,42.1631,-73.3454,NA,NA,1988,1,85,"PO",1,"GPOR","NR",NA,NA,NA,1,"85_1"
146,42.7423,-73.1162,14,8,1994,1,86,"PO",1,"GPOR","adult",NA,NA,"8/14/1994",1,"86_1"
115,42.63371299,-73.13887735,NA,NA,1989,1,87,"PO",1,"GPOR","juvenile",NA,NA,NA,1,"87_1"
117,42.63621121,-73.14460399,12,9,1995,1,88,"PO",1,"GPOR","adult",NA,NA,"9/12/1995",1,"88_1"
117,42.63621121,-73.14460399,12,9,1995,1,89,"PO",1,"GPOR","adult",NA,NA,"9/12/1995",1,"89_1"
116,42.63548347,-73.13934587,12,9,1995,1,90,"PO",1,"GPOR","adult",NA,NA,"9/12/1995",1,"90_1"
17,42.18137152,-72.28513497,NA,NA,1985,1,91,"PO",1,"GPOR","NR",NA,NA,NA,1,"91_1"
18,42.18168973,-72.28875176,NA,NA,1985,1,92,"PO",1,"GPOR","NR",NA,NA,NA,1,"92_1"
16,42.18115415,-72.28347961,NA,NA,1985,1,93,"PO",1,"GPOR","NR",NA,NA,NA,1,"93_1"
15,42.18058563,-72.28301139,NA,NA,1985,1,94,"PO",1,"GPOR","NR",NA,NA,NA,1,"94_1"
14,42.1804696,-72.28267528,17,8,2005,1,95,"PO",1,"GPOR","NR",NA,NA,"8/17/2005",1,"95_1"
14,42.1804696,-72.28267528,17,8,2005,1,96,"PO",1,"GPOR","NR",NA,NA,"8/17/2005",1,"96_1"
68,42.52105604,-72.93652557,NA,NA,1980,1,97,"PO",1,"GPOR","NR",NA,NA,NA,1,"97_1"
68,42.52105604,-72.93652557,NA,NA,1980,1,98,"PO",1,"GPOR","NR",NA,NA,NA,1,"98_1"
69,42.52153311,-72.93126521,29,8,1992,1,99,"PO",1,"GPOR","adult",NA,NA,"8/29/1992",1,"99_1"
69,42.52153311,-72.93126521,29,8,1992,1,100,"PO",1,"GPOR","adult",NA,NA,"8/29/1992",1,"100_1"
67,42.52087418,-72.9410197,NA,NA,1980,1,101,"PO",1,"GPOR","NR",NA,NA,NA,1,"101_1"
67,42.52087418,-72.9410197,NA,NA,1980,1,102,"PO",1,"GPOR","NR",NA,NA,NA,1,"102_1"
71,42.5373,-72.5265,24,6,1992,1,103,"PO",1,"GPOR","NR",NA,NA,"6/24/1992",1,"103_1"
130,42.68052248,-72.42832759,NA,NA,1991,1,104,"PO",1,"GPOR","adult",NA,NA,NA,1,"104_1"
131,42.68087014,-72.42776447,NA,NA,1994,1,105,"PO",1,"GPOR","adult",NA,NA,NA,1,"105_1"
127,42.6649024,-72.42165912,23,5,1995,1,106,"PO",1,"GPOR","adult",NA,NA,"5/23/1995",1,"106_1"
29,42.3259,-71.869,29,5,1994,1,107,"PO",1,"GPOR","NR",NA,NA,"5/29/1994",1,"107_1"
44,42.4081,-72.8645,3,8,1993,1,108,"PO",1,"GPOR","adult",NA,NA,"8/3/1993",1,"108_1"
38,42.3877,-73.2379,21,5,1999,1,109,"PO",1,"GPOR","adult",NA,NA,"5/21/1999",1,"109_1"
