"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"48","Museum224",44.244895,-69.086569,"Maine","Museum",1851,"2020-06-09",9,6,2020,1,48,1,"48_1","PO","GPOR","NR",NA,NA,1
"49","Museum251",44.641009,-70.857739,"Maine","Museum",1851,"2014-08-07",7,8,2014,1,49,1,"49_1","PO","GPOR","NR",NA,NA,1
"50","Museum263",44.797474,-70.114555,"Maine","Museum",1851,"2008-05-14",14,5,2008,1,50,1,"50_1","PO","GPOR","NR",NA,NA,1
"51","Museum294",45.257837,-69.796523,"Maine","Museum",1851,"2023-07-19",19,7,2023,1,51,1,"51_1","PO","GPOR","NR",NA,NA,1
"52","Museum277",45.013015,-70.991282,"Maine","Museum",1851,"2022-07-28",28,7,2022,1,52,1,"52_1","PO","GPOR","NR",NA,NA,1
"53","Museum211",42.346415,-76.660345,"New York","Museum",3154,"2003-07-23",23,7,2003,1,53,1,"53_1","PO","GPOR","NR",NA,NA,1
"54","Museum256",44.670987,-70.371435,"Maine","Museum",50,"2025-07-13",13,7,2025,1,54,1,"54_1","PO","GPOR","NR",NA,NA,1
"55","Museum268",44.857776,-70.519249,"Maine","Museum",1851,"2020-07-16",16,7,2020,1,55,1,"55_1","PO","GPOR","NR",NA,NA,1
"56","Museum296",45.299544,-69.985326,"Maine","Museum",1851,"2014-07-11",11,7,2014,1,56,1,"56_1","PO","GPOR","NR",NA,NA,1
"57","Museum260",44.731942,-70.532673,"Maine","Museum",1851,"2008-10-09",9,10,2008,1,57,1,"57_1","PO","GPOR","NR",NA,NA,1
"58","Museum218",43.955627,-70.451589,"Maine","Museum",1851,"2013-09-29",29,9,2013,1,58,1,"58_1","PO","GPOR","NR",NA,NA,1
"59","Museum227",44.271185,-70.37789,"Maine","Museum",1851,"2013-09-29",29,9,2013,1,59,1,"59_1","PO","GPOR","NR",NA,NA,1
"60","Museum245",44.551064,-70.683652,"Maine","Museum",1851,"2014-06-20",20,6,2014,1,60,1,"60_1","PO","GPOR","NR",NA,NA,1
"61","Museum213",43.213292,-70.691552,"Maine","Museum",1851,"2014-05-18",18,5,2014,1,61,1,"61_1","PO","GPOR","NR",NA,NA,1
"62","Museum109",35.171387,-83.588326,"North Carolina","Museum",1851,"2021-09-01",1,9,2021,1,62,1,"62_1","PO","GPOR","NR",NA,NA,1
"63","Museum228",44.28286,-70.172821,"Maine","Museum",1851,"2008-06-05",5,6,2008,1,63,1,"63_1","PO","GPOR","NR",NA,NA,1
"64","Museum242",44.522221,-70.823091,"Maine","Museum",1851,"2014-08-07",7,8,2014,1,64,1,"64_1","PO","GPOR","NR",NA,NA,1
"65","Museum309",45.954017,-69.131916,"Maine","Museum",1851,"2014-07-13",13,7,2014,1,65,1,"65_1","PO","GPOR","NR",NA,NA,1
"66","Museum217",43.934524,-70.924378,"Maine","Museum",1851,"2013-09-29",29,9,2013,1,66,1,"66_1","PO","GPOR","NR",NA,NA,1
"67","Museum269",44.871179,-70.471217,"Maine","Museum",1851,"2020-07-16",16,7,2020,1,67,1,"67_1","PO","GPOR","NR",NA,NA,1
"68","Museum261",44.736033,-70.604407,"Maine","Museum",1851,"2008-10-12",12,10,2008,1,68,1,"68_1","PO","GPOR","NR",NA,NA,1
"69","Museum284",45.079784,-69.850089,"Maine","Museum",1851,"2013-10-04",4,10,2013,1,69,1,"69_1","PO","GPOR","NR",NA,NA,1
"70","Museum270",44.878363,-70.530481,"Maine","Museum",1851,"2008-09-17",17,9,2008,1,70,1,"70_1","PO","GPOR","NR",NA,NA,1
"71","Museum280",45.035227,-70.065599,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,71,1,"71_1","PO","GPOR","NR",NA,NA,1
"72","Museum281",45.054911,-70.07611,"Maine","Museum",1851,"2008-09-18",18,9,2008,1,72,1,"72_1","PO","GPOR","NR",NA,NA,1
"73","Museum278",45.031118,-69.709422,"Maine","Museum",1851,"2013-10-04",4,10,2013,1,73,1,"73_1","PO","GPOR","NR",NA,NA,1
"74","Museum219",43.980561,-70.807175,"Maine","Museum",8509,"2008-08-27",27,8,2008,1,74,1,"74_1","PO","GPOR","NR",NA,NA,1
"75","Museum302",45.463095,-70.512375,"Maine","Museum",1851,"2018-09-12",12,9,2018,1,75,1,"75_1","PO","GPOR","NR",NA,NA,1
"76","Museum258",44.703955,-70.896573,"Maine","Museum",1851,"2014-08-07",7,8,2014,1,76,1,"76_1","PO","GPOR","NR",NA,NA,1
"77","Museum301",45.455962,-70.055576,"Maine","Museum",1851,"2014-07-11",11,7,2014,1,77,1,"77_1","PO","GPOR","NR",NA,NA,1
"78","Museum236",44.4576,-70.390344,"Maine","Museum",1851,"2008-07-12",12,7,2008,1,78,1,"78_1","PO","GPOR","NR",NA,NA,1
"79","Museum220",44.021771,-70.035059,"Maine","Museum",1851,"2008-05-14",14,5,2008,1,79,1,"79_1","PO","GPOR","NR",NA,NA,1
"80","Museum231",44.285346,-70.836313,"Maine","Museum",324,"2007-07-06",6,7,2007,1,80,1,"80_1","PO","GPOR","NR",NA,NA,1
"81","Museum235",44.422239,-70.47003,"Maine","Museum",1851,"2008-07-12",12,7,2008,1,81,1,"81_1","PO","GPOR","NR",NA,NA,1
"82","Museum287",45.103728,-69.691623,"Maine","Museum",1851,"2013-10-04",4,10,2013,1,82,1,"82_1","PO","GPOR","NR",NA,NA,1
"83","Museum266",44.825566,-70.40886,"Maine","Museum",1851,"2008-09-17",17,9,2008,1,83,1,"83_1","PO","GPOR","NR",NA,NA,1
"84","Museum262",44.745112,-70.812933,"Maine","Museum",1851,"2020-07-09",9,7,2020,1,84,1,"84_1","PO","GPOR","NR",NA,NA,1
"85","Museum225",44.24539,-69.086958,"Maine","Museum",1851,"2020-06-09",9,6,2020,1,85,1,"85_1","PO","GPOR","NR",NA,NA,1
"86","Museum230",44.284542,-70.889678,"Maine","Museum",1851,"2008-07-12",12,7,2008,1,86,1,"86_1","PO","GPOR","NR",NA,NA,1
"87","Museum310",46.095107,-68.449311,"Maine","Museum",1851,"2021-06-25",25,6,2021,1,87,1,"87_1","PO","GPOR","NR",NA,NA,1
"88","Museum222",44.201413,-70.429052,"Maine","Museum",1851,"2013-09-29",29,9,2013,1,88,1,"88_1","PO","GPOR","NR",NA,NA,1
"89","Museum253",44.657248,-70.344244,"Maine","Museum",1851,"2008-05-14",14,5,2008,1,89,1,"89_1","PO","GPOR","NR",NA,NA,1
"90","Museum267",44.84039,-70.015767,"Maine","Museum",1851,"2008-05-14",14,5,2008,1,90,1,"90_1","PO","GPOR","NR",NA,NA,1
"91","Museum216",43.86381,-70.825791,"Maine","Museum",10543,"2008-08-26",26,8,2008,1,91,1,"91_1","PO","GPOR","NR",NA,NA,1
"92","Museum291",45.159592,-69.983725,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,92,1,"92_1","PO","GPOR","NR",NA,NA,1
"93","Museum221",44.189301,-70.884652,"Maine","Museum",8319,"2007-09-12",12,9,2007,1,93,1,"93_1","PO","GPOR","NR",NA,NA,1
"94","Museum248",44.619375,-70.758949,"Maine","Museum",8825,"2008-06-17",17,6,2008,1,94,1,"94_1","PO","GPOR","NR",NA,NA,1
"95","Museum272",44.929662,-69.436258,"Maine","Museum",1851,"2008-09-25",25,9,2008,1,95,1,"95_1","PO","GPOR","NR",NA,NA,1
