strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170300010103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010105,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010106,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010203,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010205,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010302,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010303,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010307,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010401,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010402,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010403,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010404,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010405,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010406,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010408,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010501,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010502,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010503,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010504,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010505,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010506,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010507,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010508,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010509,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010510,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010511,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010601,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010602,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010603,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010604,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010605,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010701,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010704,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010705,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010707,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010708,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010709,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
