"SSAR.scientific","SSAR.common","spp.type","DS.code","all.codes","SSAR.names","IUCN.scientific","iNat.scientific"
"Desmognathus intermedius","Western Shovel-nosed Salamander","Salamander","DEIN","DEIN","Desmognathus intermedius","Desmognathus intermedius","Desmognathus intermedius"
"Desmognathus marmoratus","Nothern Shovel-nosed Salamander","Salamander","DMAR","DMAR","Desmognathus marmoratus","Desmognathus marmoratus","Desmognathus marmoratus"
"Desmognathus monticola complex","Northern Seal Salamander","Salamander","DMON","DMON|DECH","Desmognathus monticola, Desmognathus cheaha","Desmognathus monticola","Desmognathus monticola, Desmognathus cheaha"
"Desmognathus ochrophaeus","Allegheny Mountain Dusky Salamander","Salamander","DOCH","DOCH","Desmognathus ochrophaeus","Desmognathus ochrophaeus","Desmognathus ochrophaeus"
"Desmognathus ocoee complex","Ocoee Salamander","Salamander","DOCO","DOCO|DEAD|DESB|DPER","Desmognathus ocoee, Desmognathus adatsihi, Desmognathus balsameus, Desmognathus perlapsus","Desmognathus ocoee","Desmognathus ocoee, Desmognathus adatsihi, Desmognathus balsameus, Desmognathus perlapsus"
"Desmognathus orestes","Blue Ridge Dusky Salamander","Salamander","DEOR","DEOR","Desmognathus orestes","Desmognathus orestes","Desmognathus orestes"
"Desmognathus organi","Northern Pygmy Salamander","Salamander","DESO","DESO","Desmognathus organi","Desmognathus organi","Desmognathus organi"
"Desmognathus planiceps","Flat-headed Salamander","Salamander","DEPL","DEPL","Desmognathus planiceps","Desmognathus planiceps","Desmognathus planiceps"
"Desmognathus santeetlah","Santeetlah Dusky Salamander","Salamander","DSAN","DSAN","Desmognathus santeetlah","Desmognathus santeetlah","Desmognathus santeetlah"
"Desmognathus valtos","Carolina Swamp Dusky Salamander","Salamander","DESV","DESV","Desmognathus valtos","","Desmognathus valtos"
"Desmognathus valentinei complex","Valentine's Southern Dusky Salamander","Salamander","DEVA","DEVA|DEPA","Desmognathus valentinei, Desmognathus pascagoula","Desmognathus valentinei","Desmognathus valentinei, Desmognathus pascagoula"
"Desmognathus welteri","Black Mountain Salamander","Salamander","DWEL","DWEL","Desmognathus welteri","Desmognathus welteri","Desmognathus welteri"
"Desmognathus wrighti","Pygmy Salamander","Salamander","DWRI","DWRI","Desmognathus wrighti","Desmognathus wrighti","Desmognathus wrighti"
"Dicamptodon aterrimus","Idaho Giant Salamander","Salamander","DIAT","DIAT","Dicamptodon aterrimus","Dicamptodon aterrimus","Dicamptodon aterrimus"
