strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030701011409,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011501,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011502,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011503,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011601,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011602,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011603,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011604,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011605,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011606,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011607,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011701,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011702,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011703,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011704,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011705,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011706,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701020102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701020501,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030105,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030106,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030107,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030302,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030303,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030304,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030305,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030404,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030405,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030406,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030407,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030501,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030502,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030503,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030504,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030505,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030601,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030602,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030603,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030701,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030702,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030703,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030704,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030705,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030706,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030707,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030708,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030801,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030802,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030803,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
